,precision,recall,f1-score,support
mousebite,0.9929577464788732,0.9463087248322147,0.9690721649484536,149.0
open,0.9262295081967213,0.9576271186440678,0.9416666666666667,118.0
pinhole,0.9223300970873787,0.9595959595959596,0.9405940594059405,99.0
short,0.9879518072289156,0.9761904761904762,0.9820359281437125,84.0
spur,0.9795918367346939,0.9411764705882353,0.96,51.0
spurious copper,0.968421052631579,0.989247311827957,0.9787234042553191,93.0
accuracy,0.9612794612794613,0.9612794612794613,0.9612794612794613,0.9612794612794613
macro avg,0.9629136747263604,0.9616910102798184,0.9620153705700155,594.0
weighted avg,0.9622336013125435,0.9612794612794613,0.9614470129376951,594.0
